finding,evidence,business_use
Treatment cost differs significantly by Diagnosis,"ANOVA and Kruskal-Wallis: statistic=18356.4312, p=<0.001, effect size=0.7287","Use as evidence for dashboard focus, recommendations, or report narrative."
Doctor_Availability has a statistically significant monotonic relationship with Treatment_Cost,"Spearman correlation: statistic=0.1696, p=<0.001, effect size=0.1696","Use as evidence for dashboard focus, recommendations, or report narrative."
Age has a statistically significant monotonic relationship with Treatment_Cost,"Spearman correlation: statistic=0.1588, p=<0.001, effect size=0.1588","Use as evidence for dashboard focus, recommendations, or report narrative."
Cleanliness_Score has a statistically significant monotonic relationship with Treatment_Cost,"Spearman correlation: statistic=0.1584, p=<0.001, effect size=0.1584","Use as evidence for dashboard focus, recommendations, or report narrative."
Outcome is associated with Diagnosis,"Chi-square independence: statistic=723.6418, p=<0.001, effect size=0.1228","Use as evidence for dashboard focus, recommendations, or report narrative."
Outcome is associated with Age_Group,"Chi-square independence: statistic=718.1793, p=<0.001, effect size=0.1223","Use as evidence for dashboard focus, recommendations, or report narrative."
Treatment cost differs significantly by Hospital,"ANOVA and Kruskal-Wallis: statistic=1048.2809, p=<0.001, effect size=0.0532","Use as evidence for dashboard focus, recommendations, or report narrative."
Treatment cost differs significantly by Economic_Status,"ANOVA and Kruskal-Wallis: statistic=735.8923, p=<0.001, effect size=0.0349","Use as evidence for dashboard focus, recommendations, or report narrative."
Treatment cost differs significantly by Hospital_Type,"ANOVA and Kruskal-Wallis: statistic=636.1345, p=<0.001, effect size=0.0304","Use as evidence for dashboard focus, recommendations, or report narrative."
Outcome is associated with Region,"Chi-square independence: statistic=23.5002, p=<0.001, effect size=0.0221","Use as evidence for dashboard focus, recommendations, or report narrative."
Treatment cost differs significantly by Age_Group,"ANOVA and Kruskal-Wallis: statistic=505.1532, p=<0.001, effect size=0.0216","Use as evidence for dashboard focus, recommendations, or report narrative."
Outcome is associated with Economic_Status,"Chi-square independence: statistic=18.727, p=<0.001, effect size=0.0198","Use as evidence for dashboard focus, recommendations, or report narrative."
Doctor_Experience_Years has a statistically significant monotonic relationship with Treatment_Cost,"Spearman correlation: statistic=0.0159, p=0.0137, effect size=0.0159","Use as evidence for dashboard focus, recommendations, or report narrative."
